"Loja","Iteracao","Train_Start","Train_End","Train_Size","Test_Start","Test_End","Test_Size","Modelo","MAE","NMAE","RMSE","RRSE"
"Baltimore",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"ARIMA(0,1,2)",26.628,2.4474,30.1985,102.1193
"Baltimore",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"ARIMA(0,1,2)",29.3311,2.6959,30.6513,110.3078
"Baltimore",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"ARIMA(0,1,2)",26.3889,2.4254,31.0941,95.706
"Baltimore",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"ARIMA(0,1,2)",26.4736,2.4332,35.6204,98.0903
"Baltimore",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"ARIMA(0,1,2)",20.8837,1.9195,25.3577,83.5315
"Baltimore",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"ARIMA(0,1,2)",30.9429,2.844,33.1997,117.2321
"Baltimore",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"ARIMA(0,1,2)",30.1021,2.7667,33.134,108.2405
"Baltimore",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"ARIMA(0,1,2)",20.5849,1.892,24.8518,88.3914
"Baltimore",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"ARIMA(0,1,2)",78.4188,7.2076,178.6382,104.3958
"Baltimore",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"ARIMA(0,1,2)",100.0212,9.1931,144.7338,85.0607
"Baltimore",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"ARIMA(0,1,2)",45.5342,4.1851,50.7914,280.9558
"Baltimore",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"ARIMA(0,1,2)",32.7635,3.0114,35.3536,163.7509
"Lancaster",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"ARIMA(0,1,3)",47.535,2.5529,51.7456,140.3381
