"Loja","Iteracao","Train_Start","Train_End","Train_Size","Test_Start","Test_End","Test_Size","Modelo","ETS_Model","MAE","NMAE","RRSE","R2"
"Baltimore",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"ETS_Multivariado_C1","ETS(A,N,A)",13.6897,1.2582,52.4471,0.7249
"Baltimore",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"ETS_Multivariado_C1","ETS(A,N,A)",16.7195,1.5367,66.702,0.5551
"Baltimore",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"ETS_Multivariado_C1","ETS(A,N,A)",5.7394,0.5275,20.9991,0.9559
"Baltimore",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"ETS_Multivariado_C1","ETS(A,N,A)",13.7732,1.2659,42.9945,0.8151
"Baltimore",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"ETS_Multivariado_C1","ETS(A,N,A)",29.7205,2.7317,172.5116,-1.976
"Baltimore",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"ETS_Multivariado_C1","ETS(A,N,A)",6.6733,0.6134,28.9217,0.9164
"Baltimore",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"ETS_Multivariado_C1","ETS(A,N,A)",7.7535,0.7126,31.5818,0.9003
"Baltimore",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"ETS_Multivariado_C1","ETS(A,N,A)",17.0069,1.5631,71.6862,0.4861
"Baltimore",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"ETS_Multivariado_C1","ETS(A,N,A)",15.7596,1.4485,11.7814,0.9861
"Baltimore",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"ETS_Multivariado_C1","ETS(A,N,A)",25.542,2.3476,18.9125,0.9642
"Baltimore",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"ETS_Multivariado_C1","ETS(A,N,A)",19.4925,1.7916,117.1519,-0.3725
"Baltimore",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"ETS_Multivariado_C1","ETS(A,N,A)",17.1532,1.5766,83.3611,0.3051
"Lancaster",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"ETS_Multivariado_C1","ETS(A,N,A)",11.996,0.6443,37.9294,0.8561
"Lancaster",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"ETS_Multivariado_C1","ETS(A,N,A)",28.1685,1.5128,86.6343,0.2495
"Lancaster",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"ETS_Multivariado_C1","ETS(A,N,A)",15.5053,0.8327,45.3971,0.7939
"Lancaster",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"ETS_Multivariado_C1","ETS(A,N,A)",31.1848,1.6748,83.8206,0.2974
"Lancaster",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"ETS_Multivariado_C1","ETS(A,N,A)",48.9317,2.6279,181.2156,-2.2839
"Lancaster",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"ETS_Multivariado_C1","ETS(A,N,A)",13.298,0.7142,52.569,0.7237
"Lancaster",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"ETS_Multivariado_C1","ETS(A,N,A)",19.0554,1.0234,62.4812,0.6096
"Lancaster",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"ETS_Multivariado_C1","ETS(A,N,A)",25.6451,1.3773,88.6484,0.2141
"Lancaster",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"ETS_Multivariado_C1","ETS(A,N,A)",27.6524,1.4851,14.493,0.979
"Lancaster",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"ETS_Multivariado_C1","ETS(A,N,A)",61.9318,3.3261,37.2213,0.8615
"Lancaster",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"ETS_Multivariado_C1","ETS(A,N,A)",25.597,1.3747,134.011,-0.7959
"Lancaster",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"ETS_Multivariado_C1","ETS(A,N,A)",35.2277,1.8919,141.5561,-1.0038
"Philadelphia",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"ETS_Multivariado_C1","ETS(A,N,A)",37.5394,2.2173,67.8029,0.5403
"Philadelphia",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"ETS_Multivariado_C1","ETS(A,N,A)",30.7675,1.8173,58.0117,0.6635
"Philadelphia",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"ETS_Multivariado_C1","ETS(A,N,A)",27.4665,1.6224,44.3707,0.8031
"Philadelphia",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"ETS_Multivariado_C1","ETS(A,N,A)",57.388,3.3897,75.5397,0.4294
"Philadelphia",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"ETS_Multivariado_C1","ETS(A,N,A)",66.9373,3.9538,152.7364,-1.3328
"Philadelphia",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"ETS_Multivariado_C1","ETS(A,N,A)",10.3491,0.6113,18.526,0.9657
"Philadelphia",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"ETS_Multivariado_C1","ETS(A,N,A)",17.9275,1.0589,29.3986,0.9136
"Philadelphia",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"ETS_Multivariado_C1","ETS(A,N,A)",34.9226,2.0628,70.1937,0.5073
"Philadelphia",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"ETS_Multivariado_C1","ETS(A,N,A)",49.6911,2.9351,17.4625,0.9695
"Philadelphia",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"ETS_Multivariado_C1","ETS(A,N,A)",61.4383,3.629,16.9962,0.9711
"Philadelphia",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"ETS_Multivariado_C1","ETS(A,N,A)",71.6013,4.2293,212.049,-3.4965
"Philadelphia",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"ETS_Multivariado_C1","ETS(A,N,A)",61.9565,3.6596,126.5341,-0.6011
"Richmond",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"ETS_Multivariado_C1","ETS(A,N,A)",11.4966,1.929,74.1561,0.4501
"Richmond",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"ETS_Multivariado_C1","ETS(A,N,A)",16.2253,2.7224,104.2662,-0.0871
"Richmond",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"ETS_Multivariado_C1","ETS(A,N,A)",8.6793,1.4563,54.4378,0.7037
"Richmond",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"ETS_Multivariado_C1","ETS(A,N,A)",14.7903,2.4816,68.3228,0.5332
"Richmond",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"ETS_Multivariado_C1","ETS(A,N,A)",15.6792,2.6307,162.7381,-1.6484
"Richmond",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"ETS_Multivariado_C1","ETS(A,N,A)",5.9749,1.0025,43.0341,0.8148
"Richmond",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"ETS_Multivariado_C1","ETS(A,N,A)",6.0435,1.014,34.8143,0.8788
"Richmond",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"ETS_Multivariado_C1","ETS(A,N,A)",5.6076,0.9409,42.8995,0.816
"Richmond",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"ETS_Multivariado_C1","ETS(A,N,A)",12.7746,2.1434,13.1189,0.9828
"Richmond",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"ETS_Multivariado_C1","ETS(A,N,A)",16.4707,2.7635,17.5343,0.9693
"Richmond",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"ETS_Multivariado_C1","ETS(A,N,A)",13.1279,2.2027,121.5781,-0.4781
