"Loja","Iteracao","Test_Start","Test_End","NMAE_rf","RRSE_rf","R2_rf","NMAE_naive","RRSE_naive","R2_naive"
"Baltimore",1,"2014-03-23","2014-03-29",1.013,42.3101,0.821,0.8666,36.3761,0.8677
"Baltimore",2,"2014-03-30","2014-04-05",1.0622,59.1551,0.6501,1.0373,48.4932,0.7648
"Baltimore",3,"2014-04-06","2014-04-12",0.8494,37.2861,0.861,0.8009,30.8891,0.9046
"Baltimore",4,"2014-04-13","2014-04-19",2.0126,72.2009,0.4787,2.114,74.2352,0.4489
"Baltimore",5,"2014-04-20","2014-04-26",2.1156,166.4901,-1.7719,2.9937,178.6481,-2.1915
"Baltimore",6,"2014-04-27","2014-05-03",1.7091,70.7698,0.4992,1.7332,73.9491,0.4532
"Baltimore",7,"2014-05-04","2014-05-10",0.8255,33.9506,0.8847,0.4858,21.7744,0.9526
"Baltimore",8,"2014-05-11","2014-05-17",0.7341,32.6432,0.8934,0.8009,35.3891,0.8748
"Baltimore",9,"2014-05-18","2014-05-24",1.4611,14.9511,0.9776,6.4601,96.474,0.0693
"Baltimore",10,"2014-05-25","2014-05-31",2.6674,22.4065,0.9498,16.2421,151.3919,-1.2919
"Baltimore",11,"2014-06-01","2014-06-07",1.9765,173.9484,-2.0258,10.386,1112.6191,-122.7921
"Baltimore",12,"2014-06-08","2014-06-14",0.6243,35.3518,0.875,0.4333,29.1367,0.9151
"Lancaster",1,"2014-03-23","2014-03-29",0.9631,56.4696,0.6811,0.6138,35.6865,0.8726
"Lancaster",2,"2014-03-30","2014-04-05",0.6593,51.3887,0.7359,0.7596,49.4155,0.7558
"Lancaster",3,"2014-04-06","2014-04-12",0.5973,42.5247,0.8192,0.5677,30.4884,0.907
"Lancaster",4,"2014-04-13","2014-04-19",1.6707,89.3072,0.2024,1.5038,72.864,0.4691
"Lancaster",5,"2014-04-20","2014-04-26",2.0404,173.2001,-1.9998,2.5242,180.3962,-2.2543
"Lancaster",6,"2014-04-27","2014-05-03",1.1073,71.4904,0.4889,1.6035,110.2477,-0.2155
"Lancaster",7,"2014-05-04","2014-05-10",0.7092,40.9953,0.8319,0.3453,21.8525,0.9522
"Lancaster",8,"2014-05-11","2014-05-17",0.435,26.758,0.9284,0.5677,35.2048,0.8761
"Lancaster",9,"2014-05-18","2014-05-24",1.8805,35.844,0.8715,4.5573,96.5617,0.0676
"Lancaster",10,"2014-05-25","2014-05-31",1.0335,13.4021,0.982,11.4393,151.3959,-1.2921
"Lancaster",11,"2014-06-01","2014-06-07",1.1818,149.1627,-1.2249,7.3116,1118.0318,-123.9995
"Lancaster",12,"2014-06-08","2014-06-14",0.5067,42.5112,0.8193,0.3222,29.7688,0.9114
"Philadelphia",1,"2014-03-23","2014-03-29",1.3945,39.4582,0.8443,1.2742,37.655,0.8582
"Philadelphia",2,"2014-03-30","2014-04-05",1.2249,43.0893,0.8143,1.4598,47.1315,0.7779
"Philadelphia",3,"2014-04-06","2014-04-12",1.0838,33.6091,0.887,1.1898,31.3768,0.9015
"Philadelphia",4,"2014-04-13","2014-04-19",3.2362,80.8331,0.3466,3.1305,74.4886,0.4451
"Philadelphia",5,"2014-04-20","2014-04-26",2.7602,142.663,-1.0353,3.7929,157.1246,-1.4688
"Philadelphia",6,"2014-04-27","2014-05-03",2.4027,65.9686,0.5648,1.9112,60.4108,0.6351
"Philadelphia",7,"2014-05-04","2014-05-10",2.1746,54.6511,0.7013,0.7088,21.0769,0.9556
"Philadelphia",8,"2014-05-11","2014-05-17",1.0345,33.818,0.8856,1.2488,36.8163,0.8645
"Philadelphia",9,"2014-05-18","2014-05-24",1.8086,10.8462,0.9882,9.746,96.6296,0.0663
"Philadelphia",10,"2014-05-25","2014-05-31",3.8475,20.2875,0.9588,24.4452,151.4095,-1.2925
"Philadelphia",11,"2014-06-01","2014-06-07",4.5462,238.6301,-4.6944,15.6274,1108.2257,-121.8164
"Philadelphia",12,"2014-06-08","2014-06-14",0.6147,23.5129,0.9447,0.6919,30.0007,0.91
"Richmond",1,"2014-03-23","2014-03-29",1.1431,40.3046,0.8376,1.0307,38.5153,0.8517
"Richmond",2,"2014-03-30","2014-04-05",1.0754,47.4522,0.7748,1.1745,49.1481,0.7584
"Richmond",3,"2014-04-06","2014-04-12",0.6796,23.3146,0.9456,0.9588,31.6602,0.8998
"Richmond",4,"2014-04-13","2014-04-19",2.2226,73.1586,0.4648,2.4928,74.3886,0.4466
"Richmond",5,"2014-04-20","2014-04-26",2.2052,158.5609,-1.5142,3.2838,172.8047,-1.9861
"Richmond",6,"2014-04-27","2014-05-03",1.7893,65.6384,0.5692,1.7977,65.0574,0.5768
"Richmond",7,"2014-05-04","2014-05-10",1.4677,48.4732,0.765,0.5513,21.6081,0.9533
"Richmond",8,"2014-05-11","2014-05-17",0.6814,25.3728,0.9356,1.0067,37.0227,0.8629
"Richmond",9,"2014-05-18","2014-05-24",1.645,12.2069,0.9851,7.6942,96.6746,0.0654
"Richmond",10,"2014-05-25","2014-05-31",2.9749,23.9628,0.9426,19.2953,151.4439,-1.2935
"Richmond",11,"2014-06-01","2014-06-07",2.4693,174.4958,-2.0449,12.3442,1110.158,-122.2451
"Richmond",12,"2014-06-08","2014-06-14",0.9454,49.3326,0.7566,0.5753,30.8957,0.9045
