"Loja","Iteracao","Modelo","Train_Start","Train_End","Train_Size","Test_Start","Test_End","Test_Size","MAE_ARIMA","NMAE_ARIMA","RMSE_ARIMA","RRSE_ARIMA","R2_ARIMA","MAE_Naive","NMAE_Naive","RMSE_Naive","RRSE_Naive","R2_Naive"
"Baltimore",1,"ARIMA(0,1,2)","2012-07-01","2014-03-22",630,"2014-03-23","2014-03-29",7,26.628,2.4474,30.1985,102.1193,-0.0428,9.4286,0.8666,10.7571,36.3761,0.8677
"Baltimore",2,"ARIMA(0,1,2)","2012-07-01","2014-03-29",637,"2014-03-30","2014-04-05",7,29.3311,2.6959,30.6513,110.3078,-0.2168,11.2857,1.0373,13.4748,48.4932,0.7648
"Baltimore",3,"ARIMA(0,1,2)","2012-07-01","2014-04-05",644,"2014-04-06","2014-04-12",7,26.3889,2.4254,31.0941,95.706,0.084,8.7143,0.8009,10.0357,30.8891,0.9046
"Baltimore",4,"ARIMA(0,1,2)","2012-07-01","2014-04-12",651,"2014-04-13","2014-04-19",7,26.4736,2.4332,35.6204,98.0903,0.0378,23,2.114,26.9576,74.2352,0.4489
"Baltimore",5,"ARIMA(0,1,2)","2012-07-01","2014-04-19",658,"2014-04-20","2014-04-26",7,38.8426,3.5701,56.2354,185.2467,-2.4316,32.5714,2.9937,54.2323,178.6481,-2.1915
"Baltimore",6,"ARIMA(0,1,2)","2012-07-01","2014-04-26",665,"2014-04-27","2014-05-03",7,30.9429,2.844,33.1997,117.2321,-0.3743,18.8571,1.7332,20.9421,73.9491,0.4532
"Baltimore",7,"ARIMA(0,1,2)","2012-07-01","2014-05-03",672,"2014-05-04","2014-05-10",7,30.1021,2.7667,33.134,108.2405,-0.1716,5.2857,0.4858,6.6655,21.7744,0.9526
"Baltimore",8,"ARIMA(0,1,2)","2012-07-01","2014-05-10",679,"2014-05-11","2014-05-17",7,20.5849,1.892,24.8518,88.3914,0.2187,8.7143,0.8009,9.9499,35.3891,0.8748
"Baltimore",9,"ARIMA(0,1,2)","2012-07-01","2014-05-17",686,"2014-05-18","2014-05-24",7,78.4188,7.2076,178.6382,104.3958,-0.0898,70.2857,6.4601,165.0827,96.474,0.0693
"Baltimore",10,"ARIMA(0,1,2)","2012-07-01","2014-05-24",693,"2014-05-25","2014-05-31",7,100.0212,9.1931,144.7338,85.0607,0.2765,176.7143,16.2421,257.5985,151.3919,-1.2919
