"loja","dia","dia_sem","PREV","PR","J","X"
"baltimore",1,"Sab",114,0.0258,14,4
"baltimore",2,"Dom",114,0.0073,10,7
"baltimore",3,"Seg",108,0.1804,12,5
"baltimore",4,"Ter",110,0.0299,3,13
"baltimore",5,"Qua",85,0.0344,3,10
"baltimore",6,"Qui",97,0.0324,3,9
"baltimore",7,"Sex",164,0.0088,6,17
"lancaster",1,"Sab",133,0.0351,4,16
"lancaster",2,"Dom",115,0.0173,4,12
"lancaster",3,"Seg",112,0.1694,12,5
"lancaster",4,"Ter",111,0.0333,3,11
"lancaster",5,"Qua",109,0.0332,4,11
"lancaster",6,"Qui",112,0.0541,3,13
"lancaster",7,"Sex",142,0.0833,3,18
"philadelphia",1,"Sab",232,0.0793,35,3
"philadelphia",2,"Dom",167,0.1558,21,6
"philadelphia",3,"Seg",180,0.0734,18,10
"philadelphia",4,"Ter",190,0.0225,16,14
"philadelphia",5,"Qua",196,0.0182,14,15
"philadelphia",6,"Qui",209,0.0064,35,1
"philadelphia",7,"Sex",302,0.0833,41,8
"richmond",1,"Sab",64,0.0751,8,2
"richmond",2,"Dom",45,0.1123,3,4
"richmond",3,"Seg",47,0.221,4,3
"richmond",4,"Ter",49,0.039,0,6
"richmond",5,"Qua",52,0.1652,4,4
"richmond",6,"Qui",59,0.1838,5,4
"richmond",7,"Sex",82,0.125,6,4
