"Loja","Iteracao","Test_Start","Test_End","NMAE_rf","RRSE_rf","R2_rf","NMAE_naive","RRSE_naive","R2_naive"
"Baltimore",1,"2014-03-23","2014-03-29",1.0425,47.0837,0.7783,0.8666,36.3761,0.8677
"Baltimore",2,"2014-03-30","2014-04-05",1.4076,65.7248,0.568,1.0373,48.4932,0.7648
"Baltimore",3,"2014-04-06","2014-04-12",0.542,24.0972,0.9419,0.8009,30.8891,0.9046
"Baltimore",4,"2014-04-13","2014-04-19",1.7714,63.2967,0.5994,2.114,74.2352,0.4489
"Baltimore",5,"2014-04-20","2014-04-26",2.7014,171.5976,-1.9446,2.9937,178.6481,-2.1915
"Baltimore",6,"2014-04-27","2014-05-03",1.2074,50.5897,0.7441,1.7332,73.9491,0.4532
"Baltimore",7,"2014-05-04","2014-05-10",0.5975,24.1118,0.9419,0.4858,21.7744,0.9526
"Baltimore",8,"2014-05-11","2014-05-17",0.5763,25.9242,0.9328,0.8009,35.3891,0.8748
"Baltimore",9,"2014-05-18","2014-05-24",1.3492,11.5449,0.9867,6.4601,96.474,0.0693
"Baltimore",10,"2014-05-25","2014-05-31",2.3084,21.4325,0.9541,16.2421,151.3919,-1.2919
"Baltimore",11,"2014-06-01","2014-06-07",0.6958,66.9745,0.5514,10.386,1112.6191,-122.7921
"Baltimore",12,"2014-06-08","2014-06-14",0.6975,41.6247,0.8267,0.4333,29.1367,0.9151
"Lancaster",1,"2014-03-23","2014-03-29",0.7208,46.7166,0.7818,0.6138,35.6865,0.8726
"Lancaster",2,"2014-03-30","2014-04-05",0.6978,42.6753,0.8179,0.7596,49.4155,0.7558
"Lancaster",3,"2014-04-06","2014-04-12",0.6807,47.5885,0.7735,0.5677,30.4884,0.907
"Lancaster",4,"2014-04-13","2014-04-19",1.5145,78.6781,0.381,1.5038,72.864,0.4691
"Lancaster",5,"2014-04-20","2014-04-26",2.1064,174.3121,-2.0385,2.5242,180.3962,-2.2543
"Lancaster",6,"2014-04-27","2014-05-03",0.9376,64.3775,0.5856,1.6035,110.2477,-0.2155
"Lancaster",7,"2014-05-04","2014-05-10",0.7307,41.2929,0.8295,0.3453,21.8525,0.9522
"Lancaster",8,"2014-05-11","2014-05-17",0.5114,31.9638,0.8978,0.5677,35.2048,0.8761
"Lancaster",9,"2014-05-18","2014-05-24",1.8381,35.6291,0.8731,4.5573,96.5617,0.0676
"Lancaster",10,"2014-05-25","2014-05-31",0.9781,11.6464,0.9864,11.4393,151.3959,-1.2921
"Lancaster",11,"2014-06-01","2014-06-07",0.7876,90.7918,0.1757,7.3116,1118.0318,-123.9995
"Lancaster",12,"2014-06-08","2014-06-14",0.6019,48.5811,0.764,0.3222,29.7688,0.9114
"Philadelphia",1,"2014-03-23","2014-03-29",1.5442,54.4171,0.7039,1.2742,37.655,0.8582
"Philadelphia",2,"2014-03-30","2014-04-05",1.4767,44.1328,0.8052,1.4598,47.1315,0.7779
"Philadelphia",3,"2014-04-06","2014-04-12",1.0726,30.2526,0.9085,1.1898,31.3768,0.9015
"Philadelphia",4,"2014-04-13","2014-04-19",2.9701,72.8204,0.4697,3.1305,74.4886,0.4451
"Philadelphia",5,"2014-04-20","2014-04-26",3.5681,147.5485,-1.1771,3.7929,157.1246,-1.4688
"Philadelphia",6,"2014-04-27","2014-05-03",1.8522,57.4418,0.67,1.9112,60.4108,0.6351
"Philadelphia",7,"2014-05-04","2014-05-10",0.9317,23.5497,0.9445,0.7088,21.0769,0.9556
"Philadelphia",8,"2014-05-11","2014-05-17",0.88,30.8603,0.9048,1.2488,36.8163,0.8645
"Philadelphia",9,"2014-05-18","2014-05-24",2.1809,14.972,0.9776,9.746,96.6296,0.0663
"Philadelphia",10,"2014-05-25","2014-05-31",3.6378,19.8865,0.9605,24.4452,151.4095,-1.2925
"Philadelphia",11,"2014-06-01","2014-06-07",1.963,93.0511,0.1341,15.6274,1108.2257,-121.8164
"Philadelphia",12,"2014-06-08","2014-06-14",0.606,27.3081,0.9254,0.6919,30.0007,0.91
"Richmond",1,"2014-03-23","2014-03-29",1.1703,42.9708,0.8154,1.0307,38.5153,0.8517
"Richmond",2,"2014-03-30","2014-04-05",1.1887,48.1249,0.7684,1.1745,49.1481,0.7584
"Richmond",3,"2014-04-06","2014-04-12",0.5447,17.9398,0.9678,0.9588,31.6602,0.8998
"Richmond",4,"2014-04-13","2014-04-19",2.1572,67.6887,0.5418,2.4928,74.3886,0.4466
"Richmond",5,"2014-04-20","2014-04-26",2.7088,162.5077,-1.6409,3.2838,172.8047,-1.9861
"Richmond",6,"2014-04-27","2014-05-03",1.6393,57.4243,0.6702,1.7977,65.0574,0.5768
"Richmond",7,"2014-05-04","2014-05-10",0.6171,21.5548,0.9535,0.5513,21.6081,0.9533
"Richmond",8,"2014-05-11","2014-05-17",0.7776,31.4658,0.901,1.0067,37.0227,0.8629
"Richmond",9,"2014-05-18","2014-05-24",1.223,7.9906,0.9936,7.6942,96.6746,0.0654
"Richmond",10,"2014-05-25","2014-05-31",1.9156,14.051,0.9803,19.2953,151.4439,-1.2935
"Richmond",11,"2014-06-01","2014-06-07",0.9904,59.044,0.6514,12.3442,1110.158,-122.2451
"Richmond",12,"2014-06-08","2014-06-14",0.7091,34.1735,0.8832,0.5753,30.8957,0.9045
