"Avaliacao","Lucro_Mediana","Lucro_Min","Lucro_Max"
1,5059,2617,8566
2,6339,5059,8566
3,6873,5059,8566
4,7355,5059,8566
5,7355,5059,8566
6,7643,5397,8566
7,7643,6873,8566
8,7643,6873,8566
9,7643,6877,8566
10,7643,6877,8566
11,7643,6877,8566
12,7643,6877,8566
13,7976,6877,8566
14,7976,6877,8566
15,7976,6877,8566
16,8161,6877,9530
17,8161,6877,9530
18,8161,7329,9530
19,8161,7329,9530
20,8161,7329,9530
21,8161,7329,9530
22,8161,7329,9530
23,8161,7329,9530
24,8161,7329,9530
25,8161,7329,9530
26,8478,7329,9530
27,8478,7329,9530
28,8478,7329,9530
29,8478,7329,9530
30,8478,7329,9530
31,8478,7329,9530
32,8478,7329,9530
33,8478,7329,9530
34,8478,7329,9530
35,8478,7329,9530
36,8478,7329,9530
37,8478,7329,9530
38,8478,7329,9530
39,8478,7329,9530
40,8478,7329,9530
41,8478,7329,9530
42,8478,7329,9530
43,8478,7329,9530
44,8478,7329,9530
45,8478,7329,9530
46,8478,7417,9530
47,8478,7417,9530
48,8478,7417,9530
49,8478,7417,9530
50,8478,7417,9530
51,8478,7417,9530
52,8478,7417,9530
53,8478,7417,9530
54,8478,7417,9530
55,8478,7417,9530
56,8478,7417,9530
57,8478,7417,9530
58,8478,7417,9530
59,8478,7417,9530
60,8478,7417,9530
61,8478,7417,9530
62,8478,7417,9530
63,8478,7417,9530
64,8478,7417,9530
65,8478,7417,9530
66,8478,7417,9530
67,8479,7417,9530
68,8479,7417,9530
69,8479,7417,9530
70,8479,7417,9530
71,8479,7417,9530
72,8479,7417,9530
73,8479,7417,9530
74,8479,7417,9530
75,8479,7417,9530
76,8479,7417,9530
77,8479,7417,9530
78,8479,7564,9530
79,8479,7564,9530
80,8479,7564,9530
81,8479,7564,9530
82,8671,7564,9530
83,8671,7564,9530
84,8671,7564,9530
85,8671,7564,9530
86,8671,7564,9530
87,8671,7564,9530
88,8671,7564,9530
89,8671,7564,9530
90,8671,7564,9530
91,8671,7577,9530
92,8671,7577,9530
93,8671,7577,9530
94,8671,7577,9530
95,8671,7577,9530
96,8671,7577,9530
97,8671,7577,9530
98,8671,7577,9530
99,8671,7577,9530
100,8671,7577,9530
101,8671,7577,9530
102,8671,7577,9530
103,8671,7577,9530
104,8671,7577,9530
105,8671,7577,9530
106,8671,7577,9530
107,8671,7577,9530
108,8671,7577,9530
109,8671,7577,9530
110,8671,7577,9530
111,8671,7577,9530
112,8671,7577,9530
113,8671,7577,9530
114,8671,7577,9530
115,8671,7577,9530
116,8671,7577,9530
117,8671,7577,9530
118,8671,7577,9530
119,8671,7871,9530
120,8671,7871,9530
121,8671,7871,9530
122,8671,7871,9530
123,8671,7871,9530
124,8671,7871,9530
125,8671,7871,9530
126,8671,7871,9530
127,8671,7871,9530
128,8671,7871,9530
129,8671,7871,9530
130,8671,7871,9530
131,8671,7871,9530
132,8671,7871,9530
133,8671,7871,9530
134,8671,7871,9530
135,8671,7871,9530
136,8671,7871,9530
137,8671,7871,9530
138,8671,7871,9530
139,8671,7871,9530
140,8671,7871,9530
141,8671,7871,9530
142,8671,7871,9530
143,8671,7871,9530
144,8671,7871,9530
145,8671,7871,9530
146,8671,7871,9530
147,8671,7871,9530
148,8671,7871,9530
