"Avaliacao","Lucro_Mediana"
1,-404644.5
2,-429573.5
3,-409730
4,-429719
5,-426752
6,-432380
7,-444221.5
8,-410076.5
9,-406727
10,-402435.5
11,-421510.5
12,-417405.5
13,-419714
14,-423680
15,-422249.5
16,-409526.5
17,-432094
18,-431225.5
19,-411162
20,-419962.5
21,-428144
22,-419521.5
23,-431476.5
24,-403061
25,-425863.5
26,-427384.5
27,-429214
28,-413588
29,-402420
30,-429173.5
31,-419906
32,-429141
33,-431333.5
34,-431958
35,-439603.5
36,-415189
37,-410256.5
38,-404833.5
39,-433720.5
40,-417899.5
41,-422557.5
42,-419184
43,-424169
44,-413313
45,-433944.5
46,-425260
47,-410887
48,-419253.5
49,-430874.5
50,-418030.5
51,-428116
52,-400923
53,-431268.5
54,-426348.5
55,-423610
56,-416527.5
57,-394710
58,-425175
59,-413148
60,-437611
61,-427968.5
62,-426657.5
63,-443910.5
64,-409071
65,-407375.5
66,-405055.5
67,-424583.5
68,-412744.5
69,-415806
70,-419812
71,-420204
72,-405790.5
73,-428348
74,-420093.5
75,-407486
76,-417731
77,-422158
78,-421656.5
79,-426147.5
80,-398297
81,-421732
82,-427442
83,-430060
84,-412188.5
85,-399840
86,-422552.5
87,-412111.5
88,-437069
89,-427953
90,-426512.5
91,-434064.5
92,-401159
93,-406767.5
94,-404484
95,-423751.5
96,-410310
97,-417707
98,-417820.5
99,-412222.5
100,-402989
101,-431271
102,-418430.5
103,-405379.5
104,-412304
105,-426855
106,-416427.5
107,-427258.5
108,-396924.5
109,-422944.5
110,-422952
111,-419681
112,-412521.5
113,-393761
114,-420679.5
115,-409969
116,-426704.5
117,-424923
118,-425082.5
119,-436511.5
120,-402749.5
121,-406105.5
122,-401647
123,-415151.5
124,-408879
125,-412056.5
126,-414167
127,-412445
128,-406412
129,-430642.5
130,-411804.5
131,-408151
132,-411839
133,-421145
134,-415188
135,-421509.5
136,-394675.5
137,-419193.5
138,-422702
139,-428597.5
140,-412876.5
141,-396661.5
142,-421189.5
143,-407686.5
144,-429218.5
145,-423539
146,-425527.5
147,-429640
148,-398736
149,-400511.5
150,-399767
151,-417502
152,-408169
153,-409845.5
154,-413254
155,-412524.5
156,-399356.5
157,-425230
158,-410410.5
159,-403288
160,-411812
161,-425349
162,-413300.5
163,-415495.5
164,-395470.5
165,-418778
166,-421718.5
167,-418443.5
168,-408097.5
169,-393947
170,-416917
171,-409989
172,-426013
173,-423045.5
174,-424360.5
175,-423440
176,-399449.5
177,-400830
178,-397583
179,-414061
180,-405892
181,-419773
182,-408975.5
183,-407733
184,-397127
185,-421458
186,-403188.5
187,-405529
188,-412608
189,-418275.5
190,-413798.5
191,-416923
192,-395629.5
193,-413947.5
194,-418144.5
195,-423961.5
196,-402998.5
197,-395183
198,-414413.5
199,-407113.5
200,-423330.5
201,-416249
202,-415531
203,-428269
204,-394730
205,-399415.5
206,-399698.5
207,-411051
208,-409358
209,-403727
210,-403733
211,-413492
212,-397410.5
213,-416632.5
214,-405981.5
215,-400675.5
216,-408006.5
217,-413671
218,-412926.5
219,-413520
220,-395886
221,-411875.5
222,-420453.5
223,-411130.5
224,-408856
225,-389623.5
226,-410955.5
227,-411612
228,-422801
229,-412921
230,-415866
231,-420220.5
232,-396295.5
233,-394146
234,-397152
235,-407518
236,-406669
237,-401868.5
238,-400448
239,-406174
240,-395580
241,-411109
242,-406296
243,-402114.5
244,-402103.5
245,-407818.5
246,-403885.5
247,-412876
248,-395205
249,-404366
250,-415210.5
251,-410174.5
252,-405144
253,-387639
254,-403047.5
255,-402940.5
256,-419799.5
257,-415057.5
258,-414882
259,-421022.5
260,-393695.5
261,-392114
262,-396612
263,-407568
264,-402845.5
265,-405020.5
266,-399927.5
267,-401825
268,-395211
269,-415593
270,-398761.5
271,-401601
272,-400837
273,-401707
274,-406427
275,-408894.5
276,-389885.5
277,-408189.5
278,-413230
279,-411472
280,-407288.5
281,-383046
282,-403674.5
283,-387402.5
284,-415871.5
285,-408181.5
286,-413904.5
287,-413948
288,-398154
289,-391441.5
290,-393489.5
291,-399709.5
292,-395360
293,-403767
294,-399315.5
295,-399799.5
296,-392400.5
297,-412313
298,-394540
299,-397503
300,-390843
301,-404343
302,-409294
303,-406057.5
304,-387211.5
305,-406849.5
306,-411127
307,-403897.5
308,-397206.5
309,-379996.5
310,-397658.5
311,-389571
312,-417582.5
313,-407708
314,-408868.5
315,-413011
316,-393513
317,-391032.5
318,-385865.5
319,-400462.5
320,-395755
321,-400444.5
322,-398992
323,-394631
324,-391455
325,-405211.5
326,-392396.5
327,-395150.5
328,-387040.5
329,-403899
330,-404932
331,-405608.5
332,-380153.5
333,-399624
334,-408971.5
335,-402237
336,-393062
337,-379730
338,-400094
339,-382545.5
340,-414018
341,-409495.5
342,-408485
343,-409945.5
344,-387782
345,-387029
346,-382148.5
347,-397956
348,-392445.5
349,-396834
350,-398339
351,-393339
352,-386618
353,-404206.5
354,-389995
355,-394189
356,-387723.5
357,-398471.5
358,-399824
359,-400866.5
360,-377516.5
361,-400834.5
362,-408338
363,-403540
364,-389383
365,-378355.5
366,-397586
367,-381173
368,-408859
369,-401011.5
370,-408778
371,-407651.5
372,-387852.5
373,-386332.5
374,-385984.5
375,-395433
376,-390466
377,-398341.5
378,-394220.5
379,-390438.5
380,-382806
381,-404601.5
382,-385929.5
383,-390678
384,-392512
385,-405372
386,-393439
387,-401208.5
388,-381092
389,-396844.5
390,-405811.5
391,-400355
392,-389534
393,-369956
394,-401838
395,-377765
396,-405034.5
397,-400236
398,-403678
399,-406958
400,-385847.5
401,-385755.5
402,-384175.5
403,-398358.5
404,-391682.5
405,-394796
406,-392245.5
407,-389881.5
408,-383335
409,-405851
410,-384916.5
411,-393338
412,-386306
413,-399024.5
414,-388880.5
415,-400411
416,-373252
417,-401407.5
418,-405217
419,-397278
420,-388527.5
421,-367866.5
422,-394960.5
423,-384300.5
424,-404506
425,-400105
426,-405856
427,-404041.5
428,-376575.5
429,-377113
430,-379005
431,-397747.5
432,-391080
433,-394250
434,-391262
435,-386863.5
436,-376815.5
437,-399328.5
438,-385131
439,-386448
440,-394379
441,-396482.5
442,-388470
443,-402914.5
444,-376325
445,-395843
446,-402989
447,-397346.5
448,-384085
449,-370607.5
450,-381242
451,-376381.5
452,-400266.5
453,-391236
454,-400303.5
455,-402607
456,-373849.5
457,-378845
458,-378458
459,-401522
460,-389217.5
461,-391274
462,-385897
463,-382615
464,-377215.5
465,-399222
466,-375339.5
467,-385468.5
468,-389213.5
469,-396007
470,-383207
471,-396220
472,-376199
473,-391262.5
474,-401419.5
475,-399297
476,-381528.5
477,-366741.5
