"Avaliacao","Lucro_Mediana","Lucro_Min","Lucro_Max"
1,37,4,91
2,37,4,91
3,37,4,91
4,37,4,91
5,53,4,103
6,53,4,103
7,53,4,103
8,53,4,103
9,53,4,103
10,53,4,103
11,53,4,103
12,53,4,103
13,53,4,103
14,53,4,103
15,53,4,103
16,53,4,103
17,53,4,103
18,53,4,103
19,53,28,103
20,53,28,103
21,53,28,103
22,53,28,103
23,53,28,103
24,53,28,103
25,53,28,103
26,53,28,103
27,53,28,103
28,53,28,103
29,91,36,119
30,91,36,119
31,91,36,119
32,91,36,119
33,91,36,119
34,91,36,119
35,91,36,119
36,91,36,119
37,91,36,119
38,91,36,119
39,91,36,119
40,91,36,119
41,91,36,119
42,91,36,119
43,91,36,119
44,91,36,119
45,91,36,119
46,91,36,119
47,91,36,119
48,91,36,119
49,91,36,119
50,91,36,119
51,91,36,119
52,91,36,119
53,91,36,119
54,91,36,119
55,91,36,119
56,91,53,119
57,103,53,119
58,103,53,119
59,103,53,119
60,103,53,119
61,103,53,119
62,103,53,119
63,103,53,119
64,103,53,119
65,103,53,119
66,103,53,119
67,103,53,119
68,103,53,119
69,103,53,119
70,103,53,119
71,103,53,119
72,103,53,119
73,103,53,119
74,103,53,119
75,103,53,119
76,103,53,119
77,103,53,119
78,103,53,119
79,103,53,119
80,103,53,119
81,103,53,119
82,103,53,119
83,103,53,119
84,103,53,119
85,103,53,119
86,103,53,119
87,103,53,119
88,103,53,119
89,103,53,119
90,103,53,119
91,103,53,119
92,103,53,119
93,103,53,119
94,103,53,119
95,103,53,119
96,103,53,119
97,103,53,119
98,103,53,119
99,103,53,136
100,103,53,136
101,103,53,136
102,103,53,136
103,103,53,136
104,103,53,136
105,103,53,136
106,103,53,136
107,103,53,136
108,103,53,136
109,103,53,136
110,103,53,136
111,103,53,136
112,103,53,136
113,103,74,136
114,103,74,136
115,103,74,136
116,103,74,136
117,108,74,136
118,108,74,136
119,108,74,136
120,108,74,136
121,108,74,136
122,108,74,136
123,108,74,136
124,108,74,136
125,108,74,136
126,108,74,136
127,108,74,136
128,108,74,136
129,108,74,136
130,108,74,136
131,108,74,136
132,108,74,136
133,108,74,136
134,108,74,136
135,108,74,136
136,108,74,136
137,108,74,136
138,108,74,136
139,108,74,136
140,108,74,136
141,108,74,136
142,108,74,136
143,108,74,136
144,108,74,136
145,108,74,136
146,108,74,136
147,108,74,136
148,108,74,136
149,108,74,136
150,108,74,136
151,108,74,136
152,108,74,136
153,108,74,136
154,108,74,136
155,108,74,136
156,108,74,136
157,108,74,136
158,108,74,136
159,108,74,136
160,108,74,136
161,108,74,136
162,108,74,136
163,108,74,136
164,108,74,136
165,108,74,136
166,108,74,136
167,108,74,136
168,125,74,153
169,125,74,153
170,125,74,153
171,125,74,153
172,125,74,153
173,125,74,153
174,125,74,153
175,125,74,153
176,125,74,153
177,125,74,153
178,125,74,153
179,125,74,153
180,125,74,153
181,125,74,153
182,125,74,153
183,125,74,153
184,125,74,153
185,125,74,153
186,125,74,153
187,125,74,153
188,125,74,153
189,125,74,153
190,125,74,153
191,125,74,153
192,125,74,153
193,125,74,153
194,125,74,153
195,125,74,153
196,125,74,153
197,125,74,153
198,125,74,153
199,125,74,153
200,125,74,153
201,125,74,153
202,125,74,153
203,125,74,153
204,125,74,153
205,125,74,153
206,125,74,153
207,125,74,153
208,125,74,153
209,125,74,153
210,125,74,153
211,125,74,153
212,125,74,153
213,125,74,153
214,125,74,153
215,125,74,153
216,125,74,153
217,125,74,153
218,125,74,153
219,125,74,153
220,125,74,153
221,125,74,153
222,125,74,153
223,125,74,153
224,125,74,153
225,125,74,153
226,125,74,153
227,125,74,153
228,125,74,153
229,125,74,153
230,125,74,153
231,125,74,153
232,125,74,153
233,125,74,153
234,125,74,153
235,125,74,153
236,125,74,153
237,125,74,153
238,125,74,153
239,125,74,153
240,125,74,153
241,125,74,153
242,125,74,153
243,125,74,153
244,125,74,153
245,125,74,153
246,125,74,153
247,125,74,153
248,125,74,153
249,125,74,153
250,125,74,153
251,125,74,153
252,125,74,153
253,128,74,153
254,128,74,153
255,128,74,153
256,128,74,153
257,128,74,153
258,128,74,153
259,128,74,153
260,128,74,153
261,128,74,153
262,128,74,153
263,128,74,153
264,128,74,153
