"avaliacao","lucro"
1,5554
2,6180
3,6180
4,6180
5,6180
6,6180
7,7746
8,7746
9,7746
10,7746
11,7746
12,7746
13,7746
14,7746
15,7746
16,7746
17,7746
18,8433
19,8433
20,8485
21,8485
22,8485
23,8485
24,8485
25,8485
26,8485
27,8485
28,8796
29,8796
30,8796
31,8796
32,8796
33,8796
34,8796
35,8796
36,8796
37,8796
38,8796
39,8796
40,8796
41,8796
42,8796
43,8796
44,8796
45,8796
46,8796
47,8796
48,8796
49,8796
50,8796
51,8796
52,8796
53,8796
54,8796
55,8796
56,8796
57,8796
58,8796
59,8796
60,8796
61,8796
62,8796
63,8796
64,8796
65,8796
66,8796
67,8796
68,8796
69,8796
70,8796
71,8796
72,8796
73,8796
74,8796
75,8796
76,8796
77,8796
78,8796
79,8796
80,8796
81,8796
82,8796
83,8796
84,8796
85,8796
86,8796
87,8796
88,8796
89,8796
90,8796
91,8796
92,8796
93,8796
94,8796
95,8796
96,8796
97,8796
98,8796
99,8796
100,8796
101,8796
102,8796
103,8796
104,8796
105,8796
106,9563
107,9563
108,9563
109,9563
110,9563
111,9563
112,9563
113,9563
114,9563
115,9563
116,9563
117,9563
118,9563
119,9563
120,9563
121,9563
122,9563
123,9563
124,9563
125,9563
126,9563
127,9563
128,9563
129,9563
130,9563
131,9563
132,9563
133,9563
134,9563
135,9563
136,9563
137,9563
138,9563
139,9563
140,9563
141,9563
142,9563
143,9563
144,9563
145,9563
146,9563
147,9563
148,9563
149,9563
150,9563
151,9563
152,9563
153,9563
154,9563
155,9563
156,9563
157,9563
158,9563
159,9563
160,9563
161,9563
162,9563
163,9563
164,9563
165,9563
166,9563
167,9563
168,9563
169,9563
170,9563
171,9563
172,9563
173,9563
174,9563
175,9563
176,9563
177,9563
178,9563
179,9563
180,9563
181,9563
182,9563
183,9563
184,9563
185,9563
186,9563
187,9563
188,9563
189,9563
190,9563
191,9563
192,9563
193,9563
194,9563
195,9563
196,9563
197,9563
198,9563
199,9563
200,9563
201,9563
202,9563
203,9563
204,9563
205,9563
206,9563
207,9563
208,9563
209,9563
210,10700
211,10700
212,10700
213,10700
214,10700
215,10700
216,10700
217,10700
218,10700
219,10700
220,10700
221,10700
222,10700
223,10700
224,10700
225,10700
226,10700
227,10700
228,10700
229,10700
230,10700
231,10700
232,10700
233,10700
234,10700
235,10700
236,10700
237,10700
238,10700
239,10700
240,10700
241,10700
242,10700
243,10700
244,10700
245,10700
246,10700
247,10700
248,10700
249,10700
250,10700
251,10700
252,10700
253,10700
254,10700
255,10700
256,10700
257,10700
258,10700
259,10700
260,10700
261,10700
262,10700
263,10700
264,10700
265,10700
266,10700
267,10700
268,10700
269,10700
270,10700
271,10700
272,10700
273,10700
274,10700
275,10700
276,10700
277,10700
278,10700
279,10700
280,10700
281,10700
282,10700
283,10700
284,10700
285,10700
286,10700
287,10700
288,10700
289,11970
290,11970
291,11970
292,11970
293,11970
294,11970
295,11970
296,11970
297,11970
298,11970
299,11970
300,11970
301,11970
302,11970
303,11970
304,11970
305,11970
306,11970
307,11970
308,11970
309,11970
310,11970
311,11970
312,11970
313,11970
314,11970
315,11970
316,11970
317,11970
318,11970
319,11970
320,11970
321,11970
322,11970
323,11970
324,11970
325,11970
326,11970
327,11970
328,11970
329,11970
330,11970
331,11970
332,11970
333,11970
334,11970
335,11970
336,11970
337,11970
338,11970
339,11970
340,11970
341,11970
342,11970
343,11970
344,11970
345,11970
346,11970
347,11970
348,11970
349,11970
350,11970
351,11970
352,11970
353,11970
354,11970
355,11970
356,11970
357,11970
358,11970
359,11970
360,11970
361,11970
362,11970
363,11970
364,11970
365,11970
366,11970
367,11970
368,11970
369,11970
370,11970
371,11970
372,11970
373,11970
374,11970
375,11970
376,11970
377,11970
378,11970
379,11970
380,11970
381,11970
382,11970
383,11970
384,11970
385,11970
386,11970
387,11970
388,11970
389,11970
390,11970
391,11970
392,11970
393,11970
394,11970
395,11970
396,11970
397,11970
398,11970
399,11970
400,11970
401,11970
402,11970
403,11970
404,11970
405,11970
406,11970
407,11970
408,11970
409,11970
410,11970
411,11970
412,11970
413,11970
414,11970
415,11970
416,11970
417,11970
418,11970
419,11970
420,11970
421,11970
422,11970
423,11970
424,11970
425,11970
426,11970
427,11970
428,11970
429,11970
430,11970
431,11970
432,11970
433,11970
434,11970
435,11970
436,11970
437,11970
438,11970
439,11970
440,11970
441,11970
442,11970
443,11970
444,11970
445,11970
446,11970
447,11970
448,11970
449,11970
450,11970
451,11970
452,11970
453,11970
454,11970
455,11970
456,11970
457,11970
458,11970
459,11970
460,11970
461,11970
462,11970
463,11970
464,11970
465,11970
466,11970
467,11970
468,11970
469,11970
470,11970
471,11970
472,11970
473,11970
474,11970
475,11970
476,11970
477,11970
478,11970
479,11970
480,11970
481,11970
482,11970
483,11970
484,11970
485,11970
486,11970
487,11970
488,11970
489,11970
490,11970
491,11970
492,11970
493,11970
494,11970
495,11970
496,11970
497,11970
498,11970
499,11970
500,11970
501,11970
502,11970
503,11970
504,11970
505,11970
506,11970
507,11970
508,11970
509,11970
510,11970
511,11970
512,11970
513,11970
514,11970
515,11970
516,11970
517,11970
518,11970
519,11970
520,11970
521,11970
522,11970
523,11970
524,11970
525,11970
526,11970
527,11970
528,11970
529,11970
530,11970
531,11970
532,11970
533,11970
534,11970
535,11970
536,11970
537,11970
538,11970
539,11970
540,11970
541,11970
542,11970
543,11970
544,11970
545,11970
546,11970
547,11970
548,11970
549,11970
550,11970
551,11970
552,11970
553,12062
554,12062
555,12062
556,12062
557,12062
558,12062
559,12062
560,12062
561,12062
562,12062
563,12062
564,12062
565,12062
566,12062
567,12062
568,12062
569,12062
570,12062
571,12062
572,12062
573,12062
574,12062
575,12062
576,12062
577,12062
578,12062
579,12062
580,12062
581,12062
582,12062
583,12062
584,12062
585,12062
586,12062
587,12062
588,12062
589,12062
590,12062
591,12062
592,12062
593,12062
594,12062
595,12062
596,12062
597,12062
598,12062
599,12062
600,12062
601,12062
602,12062
603,12062
604,12062
605,12062
606,12062
607,12062
608,12062
609,12062
610,12062
611,12062
612,12062
613,12062
614,12062
615,12062
616,12062
617,12062
618,12062
619,12062
620,12062
621,12062
622,12062
623,12062
624,12062
625,12062
626,12062
627,12062
628,12062
629,12062
630,12062
631,12062
632,12062
633,12062
634,12062
635,12062
636,12062
637,12062
638,12062
639,12062
640,12062
641,12062
642,12062
643,12062
644,12062
645,12062
646,12062
647,12062
648,12062
649,12062
650,12062
651,12062
652,12062
653,12062
654,12062
655,12062
656,12062
657,12062
658,12062
659,12062
660,12062
661,12062
662,12062
663,12062
664,12062
665,12062
666,12062
667,12062
668,12062
669,12062
670,12062
671,12062
672,12062
673,12062
674,12062
675,12062
676,12062
677,12062
678,12062
679,12062
680,12062
681,12062
682,12062
683,12062
684,12062
685,12062
