"avaliacao","O1_mediana","O1_min","O1_max","O2_mediana","O2_min","O2_max"
1,5874.5,183,8672,-81,-419,134
2,6596.5,4814,8672,-10.5,-206,134
3,7294,4814,8672,17,-58,147
4,7560.5,5354,8672,26.5,-58,226
5,7834,5689,8672,64,-43,226
6,7900.5,5689,9032,89,-38,226
7,8016,6298,9032,89,-38,226
8,8016,6298,9032,98,-38,226
9,8049,6303,9032,98,1,226
10,8049,6303,9124,98,17,350
11,8081.5,6303,9775,108,17,350
12,8124.5,7182,9775,121,17,350
13,8124.5,7182,9775,128.5,17,350
14,8124.5,7182,9775,128.5,17,350
15,8124.5,7182,9775,137.5,17,350
16,8124.5,7182,9775,141,27,350
17,8124.5,7182,9775,145.5,27,350
18,8164,7182,9775,145.5,27,350
19,8206.5,7587,9775,145.5,27,350
20,8229.5,7587,9775,152,27,350
21,8229.5,7587,9775,152,27,350
22,8229.5,7587,9775,152,27,350
23,8229.5,7587,9775,152,27,350
24,8334,7587,9775,152,27,350
25,8334,7587,9775,152,27,350
26,8466.5,7587,9880,152,27,350
27,8466.5,7587,9880,152,27,350
28,8466.5,7587,9880,152,27,350
29,8537,7587,9880,152,27,350
30,8624.5,7587,9880,152,27,350
31,8780.5,7587,9880,152,27,350
32,8780.5,7587,9880,152,27,350
33,8780.5,7910,9880,152,27,350
34,8780.5,7910,9880,152,27,350
35,8780.5,7910,9880,152,27,350
36,8876,8136,10148,152,27,350
37,8949.5,8136,10148,152,27,350
38,8949.5,8136,10148,152,27,350
39,8949.5,8136,10148,152,27,350
40,8949.5,8136,10148,152,27,350
41,8949.5,8136,10148,152,27,350
42,8949.5,8136,10148,152,27,350
43,8971.5,8136,10148,152,27,350
44,9049.5,8136,10781,152,27,350
45,9049.5,8136,10781,152,27,350
46,9124.5,8136,10781,152,27,350
47,9124.5,8136,10781,152,27,350
48,9124.5,8136,10781,152,27,350
49,9214,8384,10781,152,27,350
50,9214,8384,10781,152,27,350
51,9236.5,8384,10781,152,27,350
52,9236.5,8384,10781,152,27,350
53,9236.5,8384,10781,152,27,350
54,9236.5,8384,10781,152,27,350
55,9352,8384,10781,152,27,350
56,9352,8384,10781,152,27,350
57,9352,8384,10781,152,27,350
58,9352,8384,10781,152,27,350
