"semana","Bal_d1","Bal_d2","Bal_d3","Bal_d4","Bal_d5","Bal_d6","Bal_d7","Lan_d1","Lan_d2","Lan_d3","Lan_d4","Lan_d5","Lan_d6","Lan_d7","Phi_d1","Phi_d2","Phi_d3","Phi_d4","Phi_d5","Phi_d6","Phi_d7","Ric_d1","Ric_d2","Ric_d3","Ric_d4","Ric_d5","Ric_d6","Ric_d7"
1,91,44,46,69,105,101,161,141,94,81,83,88,117,153,233,142,136,139,160,209,308,68,43,41,43,44,60,90
2,81,62,45,70,51,113,132,145,82,82,84,88,104,138,247,138,149,156,170,208,272,78,40,42,44,44,54,75
3,104,55,62,68,67,106,148,136,91,82,82,88,117,152,237,149,149,161,179,219,302,68,44,42,46,50,63,91
4,112,58,65,64,81,137,174,136,84,80,86,87,108,163,242,148,146,155,167,216,324,72,44,42,44,45,62,102
5,0,68,64,75,92,119,192,0,91,91,96,100,121,174,0,165,164,169,190,237,329,0,48,49,47,55,65,101
6,92,63,58,82,64,89,138,163,95,96,90,113,127,171,277,178,181,182,210,266,293,71,46,49,51,62,76,103
7,93,58,53,59,59,101,162,143,89,82,82,95,119,172,256,187,161,170,204,239,309,71,46,45,46,53,68,92
8,82,87,47,65,64,79,133,128,84,76,84,92,110,153,233,171,147,159,167,208,322,69,42,38,42,45,59,93
9,107,60,56,67,84,80,614,136,77,80,78,96,120,512,250,142,137,144,185,238,1251,70,39,40,41,48,60,336
10,531,436,95,59,58,96,162,542,524,148,93,93,111,158,1148,919,290,155,175,231,315,289,215,63,46,52,61,96
11,72,90,50,63,56,87,147,192,96,84,87,94,113,155,457,280,167,178,204,261,336,111,59,46,49,51,65,92
12,80,38,46,50,50,70,130,118,88,84,82,84,94,133,242,164,154,164,167,198,309,76,49,45,46,50,56,79
