"Avaliacao","Lucro_Mediana"
1,4738.5
2,6288
3,6773
4,7059.5
5,7321
6,7438
7,7528.5
8,7687.5
9,7687.5
10,7687.5
11,7687.5
12,7917.5
13,7917.5
14,8035
15,8035
16,8035
17,8128
18,8129
19,8183.5
20,8194
21,8194
22,8194
23,8194
24,8194
25,8194
26,8194
27,8336.5
28,8380.5
29,8458
30,8496.5
31,8597.5
32,8736.5
33,9088
34,9258
35,9410.5
36,9410.5
37,9410.5
38,9489
39,9525.5
40,9602
41,9602
42,9602
43,9602
44,9602
45,9602
46,9651
47,9651
48,9651
49,9728.5
50,9761.5
51,9761.5
52,9761.5
53,9993.5
54,9993.5
55,9993.5
56,9993.5
57,9993.5
58,9993.5
59,10102
60,10102
61,10102
62,10102
63,10102
64,10102
65,10102
66,10102
67,10102
68,10102
69,10102
70,10102
71,10102
72,10102
73,10121.5
74,10121.5
75,10121.5
76,10121.5
77,10121.5
78,10121.5
79,10121.5
80,10121.5
81,10121.5
82,10167.5
83,10167.5
84,10167.5
85,10167.5
86,10167.5
87,10167.5
88,10167.5
89,10167.5
90,10167.5
91,10167.5
92,10167.5
93,10167.5
94,10213
95,10213
96,10213
97,10213
98,10213
99,10213
100,10213
101,10290
102,10290
103,10290
104,10323.5
105,10323.5
106,10323.5
107,10369.5
108,10369.5
109,10369.5
110,10369.5
111,10369.5
112,10369.5
113,10369.5
114,10369.5
115,10369.5
116,10369.5
117,10369.5
118,10369.5
119,10404
120,10404
121,10404
122,10404
123,10404
124,10405.5
125,10405.5
126,10405.5
127,10405.5
128,10405.5
129,10405.5
130,10405.5
131,10405.5
132,10405.5
133,10405.5
134,10405.5
135,10405.5
136,10405.5
137,10405.5
138,10405.5
139,10405.5
140,10405.5
141,10405.5
142,10405.5
143,10405.5
144,10405.5
145,10405.5
146,10405.5
147,10405.5
148,10405.5
149,10405.5
150,10405.5
151,10405.5
152,10405.5
153,10405.5
154,10405.5
155,10405.5
156,10405.5
157,10405.5
158,10405.5
159,10405.5
160,10405.5
161,10405.5
162,10463.5
163,10463.5
164,10463.5
165,10463.5
166,10463.5
167,10463.5
168,10533.5
169,10533.5
170,10533.5
171,10533.5
172,10533.5
173,10533.5
174,10533.5
175,10533.5
176,10533.5
177,10533.5
178,10533.5
179,10533.5
180,10533.5
181,10533.5
182,10533.5
183,10533.5
184,10547
185,10547
186,10547
187,10547
188,10547
189,10547
190,10547
191,10547
192,10547
193,10547
194,10547
195,10547
196,10547
197,10547
198,10547
199,10547
200,10547
201,10547
202,10547
203,10547
204,10547
205,10547
206,10547
207,10547
208,10547
209,10547
210,10547
211,10547
212,10547
213,10547
214,10547
215,10547
216,10547
217,10547
218,10547
219,10547
220,10547
221,10547
222,10547
223,10547
224,10547
225,10547
226,10547
227,10547
228,10547
229,10547
230,10547
231,10547
232,10547
233,10547
234,10556
235,10556
236,10556
237,10556
238,10556
239,10556
240,10570.5
241,10570.5
242,10570.5
243,10570.5
244,10570.5
245,10570.5
246,10570.5
247,10570.5
248,10570.5
249,10570.5
250,10570.5
251,10570.5
252,10570.5
253,10570.5
254,10570.5
255,10570.5
256,10570.5
257,10570.5
258,10570.5
259,10570.5
260,10570.5
261,10663.5
262,10663.5
263,10663.5
264,10663.5
265,10663.5
266,10663.5
267,10663.5
268,10663.5
269,10663.5
270,10663.5
271,10663.5
272,10663.5
273,10663.5
274,10663.5
275,10663.5
276,10663.5
277,10816
278,10818
279,10818
280,10818
281,10818
282,10818
283,10818
284,10818
285,10818
286,10818
287,10818
288,10818
289,10818
290,10818
291,10818
292,10818
293,10818
294,10818
295,10818
296,10818
297,10818
298,10818
299,10818
300,10818
301,10818
302,10818
303,10818
304,10818
305,10818
306,10818
307,10818
308,10818
309,10818
310,10818
311,10894.5
312,10894.5
313,10894.5
314,10894.5
315,10894.5
316,10894.5
317,10894.5
318,10894.5
319,10894.5
