"Loja","Dia","PREV_Clientes","PR","J","X","Clientes_Assistidos","Lucro_Diario"
"Baltimore","Dom",111,0.0128,0,16,111,478
"Baltimore","Seg",75,0.293,1,9,69,375
"Baltimore","Ter",90,0.2651,0,13,90,490
"Baltimore","Qua",86,0.0343,0,13,86,508
"Baltimore","Qui",91,0.2895,0,13,91,416
"Baltimore","Sex",102,0.0051,0,15,102,636
"Baltimore","Sab",119,0.0057,0,17,119,527
"Lancaster","Dom",122,0.0181,0,18,122,608
"Lancaster","Seg",100,2e-04,4,11,100,634
"Lancaster","Ter",107,0.0259,0,15,105,795
"Lancaster","Qua",107,0.0023,0,15,105,690
"Lancaster","Qui",117,0,0,17,117,746
"Lancaster","Sex",132,0.0315,2,17,131,985
"Lancaster","Sab",154,0.0333,25,0,150,800
"Philadelphia","Dom",221,0.3,37,0,221,946
"Philadelphia","Seg",172,0.0058,29,0,172,1184
"Philadelphia","Ter",188,0,32,0,188,1276
"Philadelphia","Qua",195,0.0035,0,28,195,1270
"Philadelphia","Qui",185,0.0048,31,0,185,1285
"Philadelphia","Sex",208,0.2962,35,0,208,1228
"Philadelphia","Sab",266,0.0084,1,35,251,1117
"Richmond","Dom",70,0.0033,12,0,70,420
"Richmond","Seg",50,1e-04,0,7,49,371
"Richmond","Ter",52,0.2999,9,0,52,292
"Richmond","Qua",51,0.2874,0,8,51,278
"Richmond","Qui",61,0.0057,1,8,61,454
"Richmond","Sex",57,3e-04,8,1,55,437
"Richmond","Sab",75,0.2955,12,0,72,384
