"Avaliacao","Lucro_Mediana","Lucro_Min","Lucro_Max"
1,22,10,53
2,22,10,53
3,22,10,53
4,44,20,53
5,44,20,53
6,44,20,53
7,44,20,53
8,44,20,53
9,44,20,53
10,44,20,53
11,44,20,53
12,44,20,53
13,44,20,53
14,44,20,53
15,44,20,169
16,44,20,169
17,44,20,169
18,44,20,169
19,44,20,169
20,44,20,169
21,44,20,169
22,44,20,169
23,44,20,169
24,44,20,169
25,44,20,169
26,44,20,186
27,44,20,186
28,44,20,186
29,44,20,186
30,44,20,186
31,44,20,186
32,44,20,186
33,44,20,186
34,44,20,186
35,69,20,186
36,69,20,186
37,69,20,186
38,69,20,186
39,71,20,186
40,71,20,186
41,71,20,186
42,126,69,186
43,126,69,186
44,126,69,336
45,126,69,336
46,126,69,336
47,126,69,369
48,126,69,369
49,126,69,369
50,126,69,369
51,126,69,369
52,126,69,369
53,126,69,369
54,126,69,369
55,126,69,369
56,169,71,369
57,169,71,369
58,169,71,369
59,169,71,369
60,169,71,369
61,169,71,369
62,169,71,369
63,169,71,369
64,169,71,369
65,169,71,369
66,169,71,369
67,169,71,369
68,169,71,369
69,169,71,369
70,169,71,468
71,171,71,468
72,171,71,468
73,171,71,468
74,174,71,468
75,174,71,468
76,174,71,468
77,174,71,468
78,174,71,468
79,174,71,468
80,174,82,468
81,174,82,468
82,174,82,468
83,174,82,468
84,174,82,468
85,174,82,468
86,174,82,468
87,174,82,468
88,174,82,468
89,174,82,468
90,174,82,468
91,174,82,468
92,174,82,468
93,174,82,468
94,174,82,468
95,174,82,468
96,174,82,468
97,174,82,468
98,174,82,468
99,174,82,468
100,174,82,468
101,174,82,468
102,174,82,468
103,174,82,468
104,224,82,468
105,224,82,468
106,224,82,468
107,224,82,468
108,224,82,468
109,224,82,468
110,224,82,468
111,224,82,468
112,224,82,468
113,224,82,468
114,224,82,468
115,224,82,468
116,224,82,468
117,224,82,468
118,224,82,468
119,224,82,468
120,224,82,468
121,224,82,468
122,224,82,468
123,224,82,468
124,224,82,468
125,224,82,468
126,224,82,468
127,224,82,468
128,224,82,468
129,224,82,468
130,224,82,468
131,224,82,468
132,224,82,468
133,224,82,468
134,224,82,468
135,224,82,468
136,224,82,468
137,224,82,468
138,224,82,468
139,224,82,468
140,224,82,468
141,224,82,468
142,224,82,468
143,224,82,468
144,224,82,468
145,224,82,468
146,224,82,468
147,224,82,468
148,224,82,468
149,224,82,468
150,224,82,468
151,224,82,468
152,224,82,468
153,224,82,468
154,224,82,468
155,224,82,468
156,224,82,468
157,224,82,468
158,224,82,468
159,224,82,468
160,224,82,468
161,224,82,468
162,224,82,468
163,298,82,468
164,298,82,468
165,298,82,468
166,298,82,468
167,298,82,468
168,298,82,468
169,298,82,468
170,298,82,468
171,298,82,468
172,298,82,468
173,298,82,468
174,298,82,468
175,298,82,468
176,298,82,468
177,298,82,468
178,298,82,468
179,298,82,468
180,298,82,468
181,298,82,468
182,298,82,468
183,298,82,468
184,298,82,468
185,298,82,468
186,298,82,468
187,298,82,468
188,298,82,468
189,298,82,468
190,298,82,468
191,298,82,468
192,298,82,468
193,298,82,468
194,298,82,468
195,298,82,468
196,298,82,468
197,298,82,468
198,298,82,468
199,298,82,468
200,298,82,468
201,298,82,468
202,298,82,468
203,298,82,468
204,298,82,468
205,298,82,468
206,298,82,468
207,298,82,468
208,298,82,468
209,298,82,468
210,298,82,468
211,298,82,468
212,298,82,468
213,299,82,468
214,299,82,468
215,299,82,468
216,299,82,468
217,299,82,468
218,299,82,468
219,299,82,468
220,299,82,468
221,299,82,468
