"Avaliacao","Lucro_Mediana","Lucro_Min","Lucro_Max"
1,20,0,104
2,20,0,104
3,20,0,104
4,20,0,104
5,20,0,104
6,20,0,104
7,20,0,104
8,20,0,104
9,39,18,104
10,86,18,104
11,86,18,104
12,86,18,104
13,86,18,104
14,86,18,104
15,86,18,104
16,86,18,104
17,86,18,104
18,98,39,104
19,98,39,104
20,98,39,104
21,98,39,104
22,98,39,157
23,98,39,157
24,98,39,157
25,104,39,255
26,104,39,255
27,104,39,255
28,104,39,255
29,104,39,255
30,104,39,255
31,104,39,255
32,104,39,255
33,104,39,255
34,104,39,255
35,104,39,255
36,104,39,255
37,104,53,255
38,104,53,255
39,104,53,255
40,104,53,255
41,104,56,255
42,104,56,255
43,104,56,255
44,157,56,255
45,157,56,255
46,157,56,255
47,157,56,255
48,157,56,255
49,157,56,255
50,157,56,255
51,157,103,255
52,157,103,255
53,157,103,255
54,157,103,255
55,157,103,255
56,157,103,255
57,157,108,255
58,157,108,255
59,157,108,255
60,157,108,255
61,157,108,255
62,157,108,255
63,176,108,255
64,194,108,255
65,194,108,255
66,218,146,255
67,218,146,255
68,218,146,255
69,218,146,255
70,218,146,255
71,218,146,255
72,218,146,255
73,218,146,255
74,218,146,255
75,218,146,255
76,218,146,255
77,218,146,255
78,223,146,255
79,223,146,255
80,223,146,255
81,234,146,285
82,234,146,285
83,255,146,394
84,255,146,394
85,255,146,394
86,285,146,394
87,285,209,394
88,285,209,394
89,285,209,394
90,285,209,394
91,285,209,394
92,285,209,394
93,285,209,394
94,285,209,394
95,285,209,394
96,285,209,394
97,285,209,394
98,285,209,394
99,285,209,394
100,285,209,394
101,285,209,394
102,285,209,394
103,285,209,394
104,285,209,394
105,285,209,394
106,285,209,394
107,285,209,394
108,285,209,394
109,285,209,394
110,285,209,394
111,285,209,394
112,335,209,394
113,335,209,394
114,335,209,394
115,335,209,394
116,335,209,394
117,335,227,394
118,335,227,394
119,335,227,402
120,335,227,402
121,335,227,402
122,335,227,402
123,335,255,402
124,335,255,402
125,335,255,402
126,335,255,402
127,335,255,402
128,335,255,402
129,335,255,402
130,335,255,402
131,335,255,402
132,335,255,402
133,335,255,402
134,335,255,402
135,335,255,402
136,335,255,402
137,335,255,402
138,335,255,402
139,335,255,439
140,335,255,439
141,335,255,439
142,335,255,439
143,335,255,439
144,335,255,439
145,335,255,439
146,335,255,439
147,335,255,439
148,335,255,450
149,335,255,450
150,335,255,450
151,335,255,450
152,335,255,450
153,335,278,450
154,335,278,450
155,335,278,450
156,335,278,450
157,335,278,450
158,335,278,450
159,335,278,450
160,335,278,450
161,335,278,450
162,335,278,450
163,335,278,450
164,335,278,450
165,335,297,450
166,335,297,450
167,335,297,450
168,335,297,450
169,335,297,450
170,335,297,450
171,335,297,450
172,335,297,450
173,335,297,450
174,386,297,450
175,386,297,450
176,386,297,450
177,386,297,450
178,386,297,450
179,386,297,450
180,386,297,450
181,386,297,450
182,386,297,450
183,386,297,450
184,386,297,450
185,386,297,450
186,386,297,450
187,413,297,450
188,413,297,450
189,413,297,450
190,413,297,450
191,413,297,450
192,413,297,450
193,413,297,450
194,413,297,450
195,413,297,450
196,413,312,514
197,413,312,514
198,413,312,514
199,413,312,514
200,413,312,514
201,413,312,514
202,413,312,514
203,413,312,514
204,413,312,514
205,413,312,514
206,413,312,514
207,413,312,514
208,413,312,514
209,413,312,514
210,413,312,514
211,413,312,514
212,413,312,514
213,413,312,514
214,413,312,514
215,413,312,514
216,413,312,514
217,413,312,514
218,413,312,514
219,413,312,514
220,413,312,514
221,413,312,514
222,413,312,514
223,413,312,514
224,413,312,514
225,413,312,514
226,413,312,514
227,413,312,514
228,413,328,514
229,421,405,514
230,421,405,566
231,421,405,566
232,421,405,566
233,421,405,566
234,421,405,566
235,421,405,566
236,421,405,566
237,427,405,566
238,427,405,566
239,427,405,566
240,427,405,566
241,427,405,566
242,427,405,566
243,427,405,566
244,427,405,566
245,427,405,566
246,427,405,566
247,427,405,566
248,427,405,566
249,427,405,566
250,427,405,566
251,427,405,566
252,427,405,566
253,463,405,566
254,463,405,566
255,463,405,566
256,463,405,566
257,463,405,566
258,484,405,566
259,484,405,566
260,484,405,652
261,484,405,652
262,484,431,652
263,484,431,652
264,484,431,652
265,484,431,652
266,484,431,652
267,484,431,652
268,484,431,652
269,484,440,652
270,484,440,652
271,484,440,652
272,484,440,652
273,484,440,652
274,484,440,652
275,484,440,652
276,484,440,652
277,484,440,652
278,484,440,652
279,484,440,652
280,484,444,652
281,484,444,652
282,484,444,652
283,484,444,652
284,484,444,652
285,529,444,652
286,529,444,652
287,529,444,652
288,529,444,652
289,529,444,652
290,529,444,652
291,529,463,652
292,529,463,652
293,529,463,652
294,529,463,652
