"Loja","Dia","PREV_Clientes","PR","J","X","Clientes_Assistidos","Lucro_Diario"
"Baltimore","Dom",111,0.1817,9,5,89,300
"Baltimore","Seg",75,0.1848,5,6,72,384
"Baltimore","Ter",90,0.2531,9,6,90,366
"Baltimore","Qua",86,0.2108,9,3,75,333
"Baltimore","Qui",91,0.0764,1,12,90,582
"Baltimore","Sex",102,0.1067,0,12,84,468
"Baltimore","Sab",119,0.2182,10,7,109,308
"Lancaster","Dom",122,0.0778,11,6,108,472
"Lancaster","Seg",100,0.2157,3,11,95,596
"Lancaster","Ter",107,0.1345,6,10,106,676
"Lancaster","Qua",107,0.0609,10,7,107,650
"Lancaster","Qui",117,0.0516,4,13,115,742
"Lancaster","Sex",132,0.0061,15,7,132,750
"Lancaster","Sab",154,7e-04,24,0,144,624
"Philadelphia","Dom",221,0.0093,20,9,183,919
"Philadelphia","Seg",172,0.0018,26,2,170,1184
"Philadelphia","Ter",188,0.015,27,2,176,1226
"Philadelphia","Qua",195,0.1385,27,4,190,1318
"Philadelphia","Qui",185,0.2435,20,9,183,1008
"Philadelphia","Sex",208,6e-04,17,15,207,1404
"Philadelphia","Sab",266,0.0779,28,12,252,1268
"Richmond","Dom",70,0.0312,8,3,69,418
"Richmond","Seg",50,0.0347,5,2,44,360
"Richmond","Ter",52,0.1791,4,4,52,352
"Richmond","Qua",51,0.076,3,5,51,373
"Richmond","Qui",61,0.2102,0,9,61,378
"Richmond","Sex",57,0.2719,5,3,51,318
"Richmond","Sab",75,0.3,0,6,42,186
