"Avaliacao","Lucro"
1,3294
2,7755
3,7755
4,7755
5,7755
6,7755
7,7755
8,7755
9,7755
10,7755
11,9086
12,9086
13,9086
14,9086
15,9086
16,9089
17,9089
18,9089
19,9089
20,9089
21,9089
22,9089
23,9089
24,9089
25,9089
26,9326
27,9326
28,9326
29,9326
30,9326
31,9326
32,9326
33,9326
34,9326
35,9326
36,9597
37,9597
38,9597
39,9597
40,9597
41,9597
42,9597
43,9616
44,9616
45,9616
46,9616
47,9616
48,9616
49,9616
50,9616
51,10267
52,10267
53,10267
54,10267
55,10267
56,10267
57,10267
58,10267
59,10267
60,10267
61,10267
62,10267
63,10267
64,10267
65,10267
66,10267
67,10267
68,10267
69,10267
70,10267
71,10267
72,10267
73,10267
74,10267
75,10267
76,10267
77,10267
78,10267
79,10267
80,10267
81,10267
82,10267
83,10267
84,10267
85,10267
86,10267
87,10267
88,10267
89,10267
90,10267
91,10267
92,10267
93,10267
94,10267
95,10267
96,10267
97,10267
98,10267
99,10267
100,10267
101,10267
102,10267
103,10267
104,10267
105,10267
106,10267
107,10267
108,10267
109,10267
110,10267
111,10267
112,10267
113,10267
114,10267
115,10267
116,10267
117,10267
118,10267
119,10267
120,10267
121,10267
122,10267
123,10267
124,10267
125,10267
126,10267
127,10267
128,10267
129,10267
130,10267
131,10267
132,10267
133,10267
134,10267
135,10267
136,10267
137,10267
138,10267
139,10267
140,10267
141,10267
142,10267
143,10267
144,10267
145,10267
146,10267
147,10267
148,10267
149,10267
150,10267
151,10267
152,10267
153,10267
154,10267
155,10267
156,10267
157,10267
158,10267
159,10267
160,10267
161,10267
162,10267
163,10267
164,10267
165,10267
166,10267
167,10267
168,10267
169,10267
170,10267
171,10267
172,10267
173,10267
174,10267
175,10267
176,10267
177,10267
178,10267
179,10267
180,10267
181,10267
182,10267
183,10267
184,10267
185,10267
186,10267
187,10267
188,10267
189,10267
190,10267
191,10267
192,10267
193,10267
194,10267
195,10267
196,10267
197,10267
198,10267
199,10267
200,10267
201,10267
202,10267
203,10267
204,10267
205,10267
206,10267
207,10267
208,10267
209,10267
210,10267
211,10267
212,10267
213,10267
214,10267
215,10267
216,10267
217,10267
218,10267
219,10267
220,10267
221,10267
222,10267
223,10267
224,10267
225,10267
226,10267
227,10267
228,10267
229,10267
230,10267
231,10267
232,10267
233,10267
234,10267
235,10690
236,10690
237,10690
238,10690
239,10690
240,10690
241,10690
242,10690
243,10690
244,10690
245,10690
246,10690
247,10690
248,10690
249,10690
250,10690
251,10690
252,10690
253,10690
254,10690
255,10690
256,10690
257,10690
258,10690
259,10690
260,10690
261,10690
262,10690
263,10690
264,10690
265,10690
266,10690
267,10690
268,10690
269,10690
270,10690
271,10690
272,10690
273,10690
274,10690
275,10690
276,10690
277,10690
278,10690
279,10690
280,10690
281,10690
282,10690
283,10690
284,10690
285,10690
286,10690
287,10690
288,10690
289,10690
290,10690
291,10690
292,10690
293,10690
294,10690
295,10690
296,10690
297,10690
298,10690
299,10690
300,10690
301,10690
302,10690
303,10690
304,10690
305,10690
306,10690
307,10690
308,10690
309,10690
310,10690
311,10690
312,10690
313,10690
314,10690
315,10690
316,10690
317,10690
318,10690
319,10690
320,10690
321,10690
322,10690
323,10690
324,10690
325,10690
326,10690
327,10690
328,10690
329,10690
330,10690
331,10690
332,10690
333,10690
334,10690
335,10690
336,10690
337,10690
338,10690
339,10690
340,10690
341,10690
342,10690
343,10690
344,10690
345,10690
346,10690
347,10690
348,10690
349,10690
350,10690
351,10690
352,10690
353,10690
354,10690
355,10690
356,10690
357,10690
358,10690
359,10885
360,10885
361,10885
362,10885
363,10885
364,10885
365,10885
366,10885
367,10885
368,10885
369,10885
370,10885
371,10885
372,10885
373,10885
374,10885
375,10885
376,10885
377,10885
378,10885
379,10885
380,10885
381,10885
382,10885
383,10885
384,10885
385,10885
386,10885
387,10885
388,10885
389,10885
390,10885
391,10885
392,10885
393,10885
394,10885
395,10885
396,10885
397,10885
398,10885
399,10885
400,10885
401,10885
402,10885
403,10885
404,10885
405,10885
406,10885
407,10885
408,10885
409,10885
410,10885
411,10885
412,10885
413,10885
414,10885
415,10885
416,10885
417,10885
418,10885
419,10885
420,10885
421,10885
422,10885
423,10885
424,10885
425,10885
426,10885
427,10885
428,10885
429,10885
430,10885
431,10885
432,10885
433,10885
434,10885
435,10885
436,10885
437,10885
438,10885
439,10885
440,10885
441,10885
442,10885
443,10885
444,10885
445,10885
446,10885
447,10885
448,10885
449,10885
450,10885
451,10885
452,10885
453,10885
454,10885
455,10885
456,10885
457,10885
458,10885
459,10885
460,10885
461,10885
462,10885
463,10885
464,10885
465,10885
466,10885
467,10885
468,10885
469,10885
470,10885
471,10885
472,10885
473,10885
474,10885
475,10885
476,10885
477,10885
478,10885
479,10885
480,10885
481,10885
482,10885
483,10885
484,10885
485,10885
486,10885
487,10885
488,10885
489,10885
490,10885
491,10885
492,10885
493,10885
494,10885
495,10885
496,10885
497,10885
498,10885
499,10885
500,10885
501,10885
502,10885
503,10885
504,10885
505,10885
506,10885
507,10885
508,10885
509,10885
510,10885
511,10885
512,10885
513,10885
514,10885
515,10885
516,10885
517,10885
518,10885
519,10885
520,10885
521,10885
522,10885
523,10885
524,10885
525,10885
526,10885
527,10885
528,10885
529,10885
530,10885
531,10885
532,10885
533,10885
534,10885
535,10885
536,10885
537,10885
538,10885
539,10885
540,10885
541,10885
542,10885
543,10885
544,10885
545,10885
546,10885
547,10885
548,10885
549,10885
550,10885
551,10885
552,10885
553,10885
554,10885
555,10885
556,10885
557,10885
558,10885
559,10885
560,10885
561,10885
562,10885
563,10885
564,10885
565,10885
566,10885
567,10885
568,10885
569,10885
570,10885
571,10885
572,10946
