"Loja","Iteracao","Train_Start","Train_End","Train_Size","Test_Start","Test_End","Test_Size","NMAE_mlpe","RRSE_mlpe","R2_mlpe","NMAE_naive","RRSE_naive","R2_naive"
"Baltimore",1,"2012-07-29","2014-03-22",602,"2014-03-23","2014-03-29",7,2.2517,98.6132,0.0275,0.8666,36.3761,0.8677
"Baltimore",2,"2012-07-29","2014-03-29",609,"2014-03-30","2014-04-05",7,1.336,59.4801,0.6462,1.0373,48.4932,0.7648
"Baltimore",3,"2012-07-29","2014-04-05",616,"2014-04-06","2014-04-12",7,1.7644,68.8742,0.5256,0.8009,30.8891,0.9046
"Baltimore",4,"2012-07-29","2014-04-12",623,"2014-04-13","2014-04-19",7,2.9702,107.34,-0.1522,2.114,74.2352,0.4489
"Baltimore",5,"2012-07-29","2014-04-19",630,"2014-04-20","2014-04-26",7,3.0016,175.4039,-2.0767,2.9937,178.6481,-2.1915
"Baltimore",6,"2012-07-29","2014-04-26",637,"2014-04-27","2014-05-03",7,2.5301,117.3808,-0.3778,1.7332,73.9491,0.4532
"Baltimore",7,"2012-07-29","2014-05-03",644,"2014-05-04","2014-05-10",7,2.0746,89.1826,0.2046,0.4858,21.7744,0.9526
"Baltimore",8,"2012-07-29","2014-05-10",651,"2014-05-11","2014-05-17",7,1.7328,85.6871,0.2658,0.8009,35.3891,0.8748
"Baltimore",9,"2012-07-29","2014-05-17",658,"2014-05-18","2014-05-24",7,7.2029,100.8281,-0.0166,6.4601,96.474,0.0693
"Baltimore",10,"2012-07-29","2014-05-24",665,"2014-05-25","2014-05-31",7,2.2385,24.7487,0.9388,16.2421,151.3919,-1.2919
"Baltimore",11,"2012-07-29","2014-05-31",672,"2014-06-01","2014-06-07",7,2.4637,227.959,-4.1965,10.386,1112.6191,-122.7921
"Baltimore",12,"2012-07-29","2014-06-07",679,"2014-06-08","2014-06-14",7,1.8569,108.2247,-0.1713,0.4333,29.1367,0.9151
"Lancaster",1,"2012-07-29","2014-03-22",602,"2014-03-23","2014-03-29",7,1.3578,81.8979,0.3293,0.6138,35.6865,0.8726
"Lancaster",2,"2012-07-29","2014-03-29",609,"2014-03-30","2014-04-05",7,1.6784,96.1036,0.0764,0.7596,49.4155,0.7558
"Lancaster",3,"2012-07-29","2014-04-05",616,"2014-04-06","2014-04-12",7,1.3088,72.7043,0.4714,0.5677,30.4884,0.907
"Lancaster",4,"2012-07-29","2014-04-12",623,"2014-04-13","2014-04-19",7,2.4181,115.0597,-0.3239,1.5038,72.864,0.4691
